,Total Gap,Fraction Electric Spending,Total Households,Households Poverty <2.5,Avg Total Energy Cost,Fraction Owners,Median Cost Burden,Median Cost Burden Poverty<2.5,Utility Number,Utility Name
36.0,1100229.0,0.7378455853443061,2488.0,1285.0,2250.214599609375,0.5964630225080386,5.175000190734863,9.300000190734863,571.0,City of Amory
37.0,13548730.0,0.8474139798888641,24615.0,7953.0,3097.231689453125,0.7439366240097501,4.039999961853027,8.34000015258789,577.0,City of Alcoa Utilities
38.0,7384320.0,0.6576818345917641,96146.0,31778.0,1714.74267578125,0.46804859276516964,2.0999999046325684,5.099999904632568,590.0,City of Anaheim - (CA)
39.0,1457623.0,0.9180588613078153,3094.0,1490.0,2556.630615234375,0.7436974789915967,5.239999771118164,10.085000038146973,604.0,City of Andalusia
40.0,4825202.0,0.6923478407993142,27682.0,12731.0,1764.7305908203125,0.6137923560436385,3.569999933242798,6.829999923706055,636.0,City of Anderson - (IN)
41.0,10104307.0,0.6459260184602427,124224.0,22000.0,2226.54296875,0.8841447707367336,2.299999952316284,6.320000171661377,689.0,Connexus Energy
43.0,586760.0,0.6277894680377142,8944.0,2354.0,1709.14697265625,0.6110241502683363,2.190000057220459,5.760000228881836,691.0,City of Anoka
44.0,2658241.0,0.8157070011043221,21350.0,5272.0,2199.91455078125,0.6419203747072599,2.549999952316284,6.940000057220459,719.0,Town of Apex- (NC)
45.0,8750312.0,0.9164324319638609,36046.0,15059.0,2257.515380859375,0.7327858847028796,3.940000057220459,7.53000020980835,727.0,Appalachian Electric Coop
46.0,243989616.0,0.8212989978012695,698036.0,300299.0,2252.749267578125,0.714196688995983,4.150000095367432,9.029999732971191,733.0,Appalachian Power Co
47.0,243989616.0,0.8212989978012695,698036.0,300299.0,2252.749267578125,0.714196688995983,4.150000095367432,9.029999732971191,733.0,Appalachian Power Co
48.0,243989616.0,0.8212989978012695,698036.0,300299.0,2252.749267578125,0.714196688995983,4.150000095367432,9.029999732971191,733.0,Appalachian Power Co
49.0,2578244.0,0.8230933086251172,9378.0,3515.0,2407.051513671875,0.7970782682874813,3.8499999046325684,8.470000267028809,750.0,Arab Electric Coop Inc
50.0,244956592.0,0.8414280907873178,946924.0,300251.0,2449.679443359375,0.6825510811849737,3.4100000858306885,8.460000038146973,803.0,Arizona Public Service Co
51.0,134309888.0,0.77557723871555,497097.0,224221.0,2048.85595703125,0.6686723114402219,3.880000114440918,7.920000076293945,814.0,Entergy Arkansas LLC
52.0,134309888.0,0.77557723871555,497097.0,224221.0,2048.85595703125,0.6686723114402219,3.880000114440918,7.920000076293945,814.0,Entergy Arkansas LLC
53.0,15304382.0,0.8040286384393245,43164.0,19997.0,2445.063232421875,0.6783430636641646,4.679999828338623,8.649999618530273,817.0,Arkansas Valley Elec Coop Corp
54.0,15304382.0,0.8040286384393245,43164.0,19997.0,2445.063232421875,0.6783430636641646,4.679999828338623,8.649999618530273,817.0,Arkansas Valley Elec Coop Corp
55.0,6654240.0,0.864610979286103,37987.0,12239.0,2150.271484375,0.780609155763814,3.0199999809265137,7.300000190734863,944.0,City of Athens - (AL)
56.0,2264342.0,0.8701500214406285,8070.0,3497.0,2182.33251953125,0.7521685254027262,3.819999933242798,7.630000114440918,947.0,Athens Utility Board
57.0,133502248.0,0.7010104005983373,371419.0,110452.0,2999.81884765625,0.7441191753787502,3.8299999237060547,9.699999809265137,963.0,Atlantic City Electric Co
58.0,133502248.0,0.7010104005983373,371419.0,110452.0,2999.81884765625,0.7441191753787502,3.8299999237060547,9.699999809265137,963.0,Atlantic City Electric Co
60.0,343426.0,0.5515285764374384,4242.0,1846.0,1578.3284912109375,0.7326732673267327,2.9000000953674316,5.090000152587891,994.0,City of Auburn - (IN)
61.0,1641638.0,0.6309508256006096,11855.0,4559.0,1918.5909423828125,0.7141290594685786,3.130000114440918,6.179999828338623,1009.0,City of Austin - (MN)
62.0,16847358.0,0.8106105042167131,232288.0,57348.0,1644.150390625,0.5652078454332553,1.9299999475479126,5.550000190734863,1015.0,Austin Energy
63.0,720029.0,0.6561796241289605,13220.0,3891.0,1578.5301513671875,0.6690620272314675,1.8600000143051147,4.360000133514404,1050.0,City of Azusa
64.0,8170804.0,0.9557991602510747,43359.0,14159.0,2119.587158203125,0.7778546553195415,3.1600000858306885,7.599999904632568,1149.0,Baldwin County El Member Corp
65.0,172165360.0,0.7130609130665818,1146476.0,295225.0,2210.94091796875,0.6671635516138149,2.549999952316284,7.550000190734863,1167.0,Baltimore Gas & Electric Co
66.0,172165360.0,0.7130609130665818,1146476.0,295225.0,2210.94091796875,0.6671635516138149,2.549999952316284,7.550000190734863,1167.0,Baltimore Gas & Electric Co
67.0,3284801.0,0.7135723679027398,6798.0,2955.0,2859.0068359375,0.6928508384819064,4.900000095367432,9.470000267028809,1169.0,Bailey County Elec Coop Assn
68.0,8760810.0,0.8937246652859203,67301.0,24725.0,1761.32275390625,0.5994413158794074,2.6700000762939453,6.269999980926514,1175.0,"Bandera Electric Coop, Inc"
